,1_AK124p1_Adh.count,2_AK124p1_SPH3d.count,3_AK124p1_SPH6d.count,4_AK124p1_SPH9d.count,5_AK125p1_Adh.count,6_AK125p1_SPH3d.count,7_AK125p1_SPH6d.count,8_AK125p1_SPH9d.count,AK82p2Adh,AK82p3SPH3d,AK82p3SPH6d,AK82p3SPH10d,AK86p1Adh,AK86p2-SPH3d,AK86p2-SPH6d,AK86p2-SPH10d
ESRRA,231,145,163,146,434,463,493,412,699,766,853,1106,482,974,1041,931
ESRRB,1,0,0,0,0,1,2,0,2,7,10,15,9,0,12,13
ESRRG,26,60,50,35,65,131,151,137,142,337,421,348,115,335,393,162
ESX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESYT1,1713,1183,1136,1182,3635,4042,4433,3827,8320,8990,10369,10677,2935,8732,9068,10066
ESYT2,673,517,483,476,1317,1708,1834,1565,3674,4935,5158,4365,2115,5181,5015,3868
ESYT3,11,10,9,12,31,43,61,56,87,137,195,229,103,108,169,210
ETAA1,131,97,107,97,251,322,304,280,560,621,691,618,526,681,663,517
ETF1,759,569,487,492,1653,1666,1759,1538,5613,3893,4328,3840,3897,4189,4056,4064
ETFA,450,309,303,290,864,905,923,722,2309,2223,2302,2194,1233,2430,2042,1883
ETFB,250,174,139,136,497,449,438,386,1123,1199,868,983,859,1265,1021,869
ETFDH,112,93,77,98,190,246,200,202,341,398,521,494,300,462,406,354
ETHE1,584,195,213,217,1731,817,819,750,1572,1221,1522,1616,1296,1248,1469,1413
ETNK1,237,137,163,155,437,432,402,489,1440,2028,2802,2882,1844,1912,2342,2044
ETNK2,73,76,70,78,267,314,328,307,274,371,483,523,245,425,504,450
ETNPPL,0,0,2,0,0,0,1,2,1,1,2,2,0,0,1,0
ETS1,598,242,275,283,1292,898,972,833,5803,2952,2788,1989,3297,3048,2767,3225
ETS2,339,215,195,199,595,598,616,575,831,1229,1653,1313,1005,1248,1392,1398
ETV1,217,256,170,177,444,730,591,452,1143,1361,1306,1287,526,1413,1225,1165
ETV2,8,5,5,2,5,6,11,19,12,10,6,5,5,9,10,5
ETV3,46,28,24,30,87,105,107,85,201,189,292,220,216,250,313,213
ETV3L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETV4,183,207,147,136,448,952,648,462,1249,1426,1165,946,758,1675,1189,1105
ETV5,232,320,243,200,510,826,782,521,1370,1721,1817,1473,829,1857,1744,1066
ETV6,288,309,265,252,465,740,790,602,1315,1990,2090,1684,1241,2406,2302,1665
ETV7,7,2,2,3,11,15,12,7,23,24,25,13,17,26,21,9
EVA1A,282,260,236,193,397,554,563,458,917,931,834,826,632,1097,949,659
EVA1B,224,159,108,118,564,645,502,396,256,264,191,210,370,370,314,259
EVA1C,48,25,17,23,47,17,30,19,111,39,49,40,48,38,29,43
EVC,2153,1804,1786,1925,3425,4812,4698,3843,1497,8176,6755,5988,1735,12820,10632,4988
EVC2,87,52,60,52,161,191,188,157,238,346,367,291,316,442,426,304
EVI2A,2,0,1,0,1,0,2,0,40,10,6,4,23,7,2,11
EVI2B,0,0,0,0,1,1,0,0,3,3,2,1,10,1,3,4
EVI5,68,53,54,51,124,153,147,130,525,578,681,657,333,637,575,665
EVI5L,140,124,113,126,273,388,412,376,254,329,386,497,144,435,514,400
EVL,241,150,100,128,629,371,392,378,486,522,544,632,398,507,627,568
EVPL,134,228,194,191,322,549,674,622,882,1462,1607,1822,920,2930,2599,2747
EVPLL,0,1,1,1,0,1,2,3,0,0,0,1,0,3,1,3
EVX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EVX1-AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EVX2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EWSR1,1499,1095,1124,973,3133,3403,3385,3041,8963,7172,7254,5987,7941,7347,6883,6092
EXD1,2,2,6,5,6,6,13,8,34,43,39,37,62,44,41,31
EXD2,186,176,159,175,421,546,606,501,695,840,953,1060,393,788,970,932
EXD3,167,98,111,104,290,274,290,263,216,308,307,426,616,489,457,343
EXO1,8,5,6,2,9,31,19,11,582,135,111,34,120,101,92,66
EXO5,21,23,16,25,47,63,71,59,182,188,217,172,122,216,210,171
EXOC1,204,251,205,218,540,681,713,624,1097,1246,1567,1704,851,1325,1518,1474
EXOC2,268,228,223,200,505,675,626,583,1199,1163,1412,1464,621,1172,1267,1174
EXOC3,247,224,203,211,556,730,665,591,1118,1723,1872,1653,893,1670,1715,1617
EXOC3L1,8,11,10,8,22,29,22,25,9,28,28,20,22,80,78,28
EXOC3L2,2,0,0,0,0,0,0,0,0,2,1,1,3,1,1,3
EXOC3L4,12,9,10,12,14,18,22,18,23,36,21,32,42,30,20,18
EXOC4,535,460,431,391,1066,1109,1273,1061,1889,2223,2552,2480,862,2325,2285,2116
EXOC5,307,262,255,213,648,799,790,753,2009,2245,2654,2453,978,2564,2616,2269
EXOC6,69,66,58,46,161,181,230,182,435,586,781,719,213,593,691,655
EXOC6B,78,69,65,78,172,200,216,184,273,300,488,555,108,389,491,618
EXOC7,692,839,706,716,1537,2360,2295,1962,2410,3584,4086,3983,1539,4307,4339,4032
EXOC8,53,71,57,54,132,199,193,145,430,513,830,611,526,573,840,510
EXOG,35,45,52,28,78,121,113,109,264,308,365,297,308,272,311,244
EXOSC1,137,123,96,62,349,325,268,245,586,421,475,407,478,380,426,331
EXOSC10,522,434,405,364,1242,1462,1431,1291,2708,2218,2210,2167,2004,2227,2144,2208
EXOSC2,108,72,56,63,222,157,192,112,867,401,510,392,562,423,454,435
EXOSC3,82,65,61,50,128,185,190,139,553,282,345,275,365,318,456,304
EXOSC4,93,80,69,60,221,269,249,226,286,211,183,249,191,276,310,292
EXOSC5,100,65,52,30,258,154,144,129,330,174,175,172,307,179,201,178
EXOSC6,103,67,60,65,188,233,225,181,465,434,420,292,344,522,488,381
EXOSC7,113,91,74,82,212,249,259,218,714,475,563,487,632,469,516,574
EXOSC8,62,61,48,53,236,193,164,150,930,443,438,277,555,371,376,347
EXOSC9,80,53,47,39,222,188,173,136,1095,531,501,422,580,489,463,392
EXPH5,21,18,26,11,71,76,72,77,190,303,514,383,289,333,493,347
EXT1,567,329,293,270,1513,1160,1201,979,2135,1954,2094,1749,1123,1856,1844,1564
EXT2,610,424,377,372,1145,1128,1234,1092,2712,2005,2332,2249,1243,2288,2471,2531
EXTL1,2,0,1,0,1,1,2,1,0,1,2,5,1,2,1,1
EXTL2,46,76,76,72,147,263,201,166,596,481,539,559,321,535,553,451
EXTL3,389,506,457,458,877,1585,1642,1469,1857,2591,3097,3333,734,3254,3558,3725
EYA1,0,1,2,4,1,7,2,2,8,17,26,28,13,28,26,20
EYA2,3,1,0,0,2,2,2,1,23,11,8,3,4,5,2,7
EYA3,157,197,173,160,394,644,641,598,1084,1270,1833,1446,931,1270,1825,1589
EYA4,0,0,0,0,1,0,0,0,5,0,1,1,6,1,3,2
EYA4-AS1,1,1,0,0,8,1,2,3,0,2,0,0,11,0,2,3
EYS,3,3,3,3,8,8,9,4,45,14,44,38,34,36,40,40
EZH1,284,209,228,210,531,541,652,540,865,1675,1992,1807,1344,1740,1896,1425
EZH2,87,64,34,50,192,255,201,153,1134,603,572,352,540,536,539,508
EZR,2336,2428,2320,2275,6670,9005,9522,7979,19522,18954,19163,16632,9838,20623,19443,29587
EZR-AS1,0,0,0,0,0,0,0,0,1,1,0,0,3,2,0,1
F10,1,0,3,2,2,6,8,8,1,11,9,6,5,4,8,5
F11,0,3,1,7,2,21,14,2,1,16,19,20,4,17,15,7
F11-AS1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
F11R,492,520,448,503,1341,1838,2062,1828,3512,4788,6165,5800,2009,5014,6121,6608
F12,75,67,53,66,129,123,131,143,94,73,73,113,78,98,108,48
F13A1,0,0,0,0,3,0,2,0,5,2,0,1,2,0,0,2
F13B,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
F2,15,6,1,4,15,4,3,6,15,10,10,10,27,25,11,4
F2R,270,127,123,120,739,436,507,491,1000,910,1253,1143,577,1221,1419,1255
F2RL1,332,361,386,380,901,1460,1673,1705,2185,3864,4780,4625,1091,4044,4712,6021
F2RL2,6,2,3,6,11,10,16,14,51,26,13,20,23,28,38,15
F2RL3,1,0,0,1,3,1,0,0,2,3,1,2,4,1,2,0
F3,100,31,14,11,149,67,46,53,1074,202,221,146,2331,415,380,423
F5,16,19,25,14,35,54,54,39,454,153,272,175,164,134,287,534
F7,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0
F8,37,54,24,31,85,121,74,75,123,153,159,122,55,196,170,99
F8A1,18,15,21,18,38,74,67,48,95,95,93,58,42,60,60,106
F8A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F8A3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA2H,52,23,23,22,524,329,371,333,602,456,600,666,339,544,542,997
FAAH,27,51,57,59,79,182,204,159,145,353,426,506,97,380,377,349
FAAH2,24,31,30,27,47,94,102,80,89,189,275,237,112,229,316,185
FABP1,0,0,0,0,0,2,2,1,2,2,7,6,0,10,3,1
FABP12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FABP2,0,0,0,0,0,0,0,0,0,0,2,3,3,0,1,5
FABP3,115,89,98,138,418,468,715,686,486,984,1481,1791,288,871,1146,961
FABP4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
FABP5,162,141,105,80,547,464,477,377,2925,535,752,500,1060,518,640,795
FABP5P3,0,0,0,1,0,0,0,0,3,0,1,1,3,2,3,0
FABP6,1,0,0,0,0,0,0,0,2,1,1,1,7,0,1,1
FABP7,0,0,1,0,0,1,0,0,1,4,6,2,0,4,4,0
FABP9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
FADD,210,232,227,181,402,691,715,569,882,732,1027,827,457,885,1066,800
FADS1,237,185,205,189,634,682,921,930,4197,3679,3881,3033,2117,3369,2961,2746
FADS2,60,79,147,191,151,611,1308,1684,5544,4870,7670,7767,1685,4439,5761,7709
FADS3,750,288,318,305,1332,838,933,925,1049,999,1001,1130,1829,955,1051,1214
FADS6,0,1,0,0,0,2,1,1,2,1,3,4,2,2,1,0
FAF1,411,283,209,228,910,848,874,707,2048,1426,1583,1320,1031,1452,1423,1241
FAF2,388,401,367,348,897,1245,1346,1077,2132,2434,2526,2149,1172,2519,2481,2334
FAH,257,198,206,202,629,598,550,550,1045,1065,906,874,706,1488,929,738
FAHD1,255,321,296,315,582,756,773,773,861,945,1167,1164,491,1166,1265,888
FAHD2A,115,72,52,51,298,183,182,185,384,348,330,282,284,382,340,241
FAHD2B,26,4,5,3,78,20,19,9,112,33,45,38,120,50,38,33
FAHD2CP,4,1,3,1,12,4,9,4,13,15,8,15,29,10,20,14
FAIM,26,59,36,30,60,184,157,136,208,286,333,307,113,264,270,306
FAIM2,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1
FAIM3,0,4,2,1,2,7,13,10,28,16,29,22,3,23,22,9
FAM101A,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
FAM101B,118,51,31,28,177,197,136,82,729,472,482,305,339,394,262,189
FAM102A,593,322,375,383,1188,1051,1408,1340,1392,3864,3891,3364,1006,3616,3483,2780
FAM102B,32,22,26,20,57,97,92,63,451,215,252,230,230,235,300,206
FAM103A1,107,67,74,79,246,272,275,190,543,528,593,519,390,517,540,515
FAM104A,209,185,129,129,460,517,506,409,874,717,712,720,546,696,715,686
FAM104B,85,90,65,53,177,238,215,180,215,221,282,276,153,251,275,278
FAM105A,5,6,2,0,8,14,10,4,133,72,58,20,38,47,43,34
FAM106A,0,3,1,0,3,4,7,4,10,9,20,12,53,18,28,34
FAM106CP,3,1,1,4,1,1,1,4,1,0,5,5,4,0,2,10
FAM107A,4,23,25,11,27,266,173,138,286,920,494,340,207,1521,943,261
FAM107B,743,919,1035,1078,1364,2851,3039,2649,3014,7119,7088,4798,2012,7396,7064,5514
FAM109A,102,113,112,100,180,351,306,251,264,548,464,387,172,788,662,393
FAM109B,18,9,5,4,30,58,36,34,76,127,91,77,61,147,104,104
FAM110A,40,23,31,44,99,147,129,112,88,60,79,75,84,156,171,107
FAM110B,155,160,170,186,484,523,710,749,384,919,1448,1478,302,959,1373,963
FAM110C,215,139,179,180,475,592,637,605,779,1388,1356,1403,1051,1502,1379,1189
FAM110D,1,0,1,0,0,0,0,0,0,1,1,0,0,0,3,0
FAM111A,73,118,88,112,236,339,403,299,1393,1045,1308,1264,851,944,1053,1116
FAM111B,4,19,7,5,30,82,61,22,892,299,250,82,216,292,299,209
FAM114A1,316,173,133,116,569,480,403,351,1275,808,763,726,791,789,810,782
FAM114A2,74,95,72,69,192,286,254,227,474,346,524,501,264,393,448,450
FAM115A,369,306,243,275,845,833,914,756,2228,1866,2229,2317,927,2034,2252,2131
FAM115C,13,3,11,4,14,15,16,6,72,32,28,29,73,17,39,47
FAM115D,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FAM117A,54,52,56,45,123,194,232,182,170,274,305,300,112,271,255,245
FAM117B,84,77,59,74,210,247,260,224,429,567,743,604,316,643,664,433
FAM118A,43,52,37,44,519,406,398,404,284,325,336,297,1551,965,999,290
FAM118B,96,118,118,101,249,381,327,281,529,511,627,614,230,541,599,674
FAM120A,1089,913,814,783,2134,2877,2745,2399,5268,4366,5027,4782,3096,5030,5246,5265
FAM120AOS,109,145,125,111,208,449,380,365,634,635,790,672,350,682,696,646
FAM120B,246,253,231,197,604,828,857,725,865,1200,1465,1350,579,1140,1350,1398
FAM120C,47,43,40,60,85,150,175,148,264,318,502,346,238,325,510,327
FAM122A,71,116,96,75,120,307,276,250,216,386,605,403,173,490,597,320
FAM122B,102,81,73,96,259,351,355,273,1348,1072,1252,1081,983,987,988,1004
FAM122C,12,9,9,6,22,23,35,26,76,81,95,110,58,62,77,43
FAM124A,4,7,6,6,33,36,37,23,43,47,50,37,24,68,78,33
FAM124B,0,0,0,0,0,0,0,0,0,0,2,0,2,1,3,0
FAM126A,83,52,38,43,149,153,170,119,744,494,669,502,425,582,692,573
FAM126B,51,53,53,49,98,157,163,155,475,677,867,715,455,733,957,706
FAM127A,1034,718,599,614,1944,2240,2203,2017,1886,2075,2296,2394,1593,2347,2324,2099
FAM127B,424,386,280,282,900,1119,1000,853,882,862,966,868,869,1032,966,782
FAM127C,113,118,80,71,227,225,232,200,268,358,395,323,199,450,382,303
FAM129A,1098,637,454,346,2143,1748,1718,1380,4583,4145,4749,3613,2274,5076,5288,3542
FAM129B,2947,1940,1885,1806,5493,6385,7031,5947,13019,10221,10601,12212,5310,12416,12618,16482
FAM129C,0,2,2,1,1,4,5,5,0,0,2,6,0,1,3,0
FAM131A,88,60,54,58,176,176,211,178,321,446,424,363,222,482,490,367
FAM131B,11,9,3,8,23,30,30,45,33,56,48,44,23,50,44,41
FAM131C,77,22,38,42,82,81,96,77,58,138,110,136,61,90,98,50
FAM132A,5,0,3,3,9,13,11,14,9,18,5,10,28,29,16,7
FAM132B,470,935,428,286,1274,2383,1496,1092,1861,2938,4389,1959,2565,4825,6454,880
FAM133A,0,0,0,1,1,0,0,0,2,1,1,1,1,1,1,0
FAM133B,0,1,1,2,1,2,1,2,11,15,21,17,15,13,25,15
FAM133CP,1,1,2,1,0,1,4,3,1,4,0,0,3,3,3,4
FAM133DP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM134A,727,779,736,686,1457,2117,2154,1822,2034,3379,3917,3604,1343,4092,3978,2849
FAM134B,217,272,306,290,288,639,832,740,864,2971,3982,3179,923,3677,4130,2433
FAM134C,144,196,142,139,240,472,525,407,945,1111,1601,1403,664,1276,1568,1332
FAM135A,85,101,104,88,253,274,333,252,742,655,1024,1085,520,642,952,1100
FAM135B,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1
FAM136A,266,239,206,196,566,698,786,578,1567,1343,1498,1291,918,1372,1435,1363
FAM138A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM138B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM138C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM138D,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,1
FAM138E,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,1
FAM138F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM13A,54,53,55,58,126,146,135,128,201,241,282,281,135,209,278,195
FAM13A-AS1,4,0,3,0,4,3,10,6,50,41,66,35,80,30,41,48
FAM13B,82,100,89,88,197,320,339,308,498,958,1316,1195,361,1109,1222,992
FAM13C,0,4,3,0,2,0,5,1,1,0,4,4,0,6,7,3
FAM149A,229,267,284,278,580,836,831,700,595,1136,1127,911,497,861,893,440
FAM149B1,137,162,120,109,321,451,431,348,614,660,842,747,520,663,800,671
FAM150A,0,0,0,0,0,3,0,1,2,1,5,3,0,0,5,3
FAM150B,3,3,0,2,14,9,7,10,9,32,27,15,17,31,44,29
FAM151A,0,1,0,0,1,0,0,1,1,3,1,1,2,0,5,4
FAM151B,6,7,5,3,12,14,15,12,24,39,51,36,28,37,41,37
FAM153A,0,0,0,0,0,1,1,0,2,0,1,1,1,1,1,0
FAM153B,1,0,0,0,0,1,2,1,6,3,6,9,1,0,0,1
FAM153C,6,1,1,0,11,9,13,8,32,31,33,35,23,20,16,21
FAM154A,0,0,0,1,1,1,3,2,2,0,1,0,0,5,1,0
FAM154B,2,2,4,4,7,12,9,12,6,17,27,24,14,14,39,24
FAM155A,43,78,71,50,163,288,268,244,404,547,705,701,190,514,563,604
FAM155A-IT1,0,0,1,1,1,1,1,1,5,1,5,5,2,2,3,1
FAM155B,66,68,79,79,186,235,271,239,156,189,318,342,88,289,297,336
FAM156A,2,1,1,4,10,5,12,7,51,34,33,38,47,35,23,28
FAM156B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM157A,0,0,1,0,3,2,3,1,1,4,6,6,13,13,8,22
FAM157B,1,1,0,2,1,2,0,1,4,6,12,10,41,38,36,31
FAM159A,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
FAM159B,0,0,0,0,0,2,0,0,2,0,0,0,2,1,0,2
FAM160A1,28,14,19,19,57,65,94,71,199,297,388,267,203,437,494,367
FAM160A2,161,183,138,180,430,477,554,440,889,869,997,1039,752,943,971,961
FAM160B1,108,106,97,114,275,304,384,303,887,981,1166,964,1187,1039,1065,854
FAM160B2,384,337,289,303,725,966,947,798,1260,1727,1567,1749,1053,1832,1699,1687
FAM161A,28,19,20,27,78,44,58,59,246,158,178,173,169,136,194,146
FAM161B,54,62,80,62,112,190,181,168,144,226,313,310,102,248,350,179
FAM162A,345,171,185,193,624,396,464,434,1259,707,831,818,1195,683,741,694
FAM162B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM163A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FAM163B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM166A,3,2,0,0,0,1,0,2,0,4,5,6,8,13,8,3
FAM166B,0,2,1,1,1,3,1,0,5,8,1,4,4,8,29,2
FAM167A,37,33,27,25,60,99,107,67,166,363,394,322,85,313,379,249
FAM167B,11,5,6,5,9,20,15,13,23,33,46,30,35,25,33,26
FAM168A,328,251,246,231,559,791,774,636,1556,1539,1660,1625,1162,1702,1704,1495
FAM168B,541,557,633,569,1295,1856,2105,1791,4270,5901,6328,5466,2080,6333,6004,5099
FAM169A,10,15,9,13,21,47,69,48,136,154,282,237,85,166,219,192
FAM169B,5,16,12,7,9,52,34,33,36,41,63,64,30,37,49,33
FAM170A,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0
FAM170B,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FAM170B-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM171A1,305,366,308,305,549,921,925,767,756,1689,1724,1407,407,2297,2199,1153
FAM171A2,50,44,38,65,108,144,138,134,37,47,37,56,27,90,95,58
FAM171B,16,13,17,24,30,50,63,66,91,137,228,289,95,146,197,197
FAM172A,99,89,73,68,255,251,253,217,450,480,662,667,297,504,529,504
FAM172BP,2,2,3,1,4,4,11,10,35,22,38,35,24,20,39,48
FAM173A,102,109,61,88,220,319,281,216,107,63,55,79,116,166,133,84
FAM173B,30,59,42,37,86,146,137,119,343,396,437,425,177,309,366,331
FAM174A,89,53,51,73,186,201,197,178,230,238,225,278,202,398,362,294
FAM174B,14,25,26,20,54,158,142,127,185,183,218,199,116,189,219,367
FAM175A,135,97,74,63,342,204,204,190,456,455,487,465,252,489,500,403
FAM175B,154,130,122,113,348,379,390,340,591,840,854,710,329,840,856,624
FAM177A1,137,96,77,84,253,273,303,263,697,709,816,820,432,809,773,707
FAM177B,0,0,0,0,0,1,1,1,0,1,2,3,1,0,0,3
FAM178A,140,127,118,112,306,350,428,303,1262,1437,1947,1580,868,1467,1591,1304
FAM178B,0,0,0,0,0,0,0,2,0,0,0,3,1,0,1,2
FAM179A,0,0,0,0,1,1,2,0,7,7,6,14,0,4,5,3
FAM179B,86,114,123,93,238,402,326,286,537,707,1014,894,410,781,1053,732
FAM180A,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
FAM180B,1,0,0,0,0,1,0,0,3,1,1,0,2,3,0,2
FAM181A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM181A-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM181B,0,3,0,0,2,7,0,2,1,2,1,0,3,1,12,3
FAM182A,0,0,0,0,2,0,0,0,1,0,0,1,2,1,2,0
FAM182B,0,1,1,0,0,2,0,0,1,1,5,1,5,5,3,1
FAM183A,0,1,0,0,0,5,4,4,3,6,8,6,6,10,27,4
FAM183B,1,0,0,0,2,0,0,0,7,3,1,2,25,4,1,1
FAM183CP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM184A,19,13,3,7,45,24,41,28,136,62,73,75,92,60,83,51
FAM184B,2,2,3,7,11,12,20,6,53,73,79,65,68,50,67,52
FAM185A,18,34,30,30,60,70,71,73,153,106,130,164,80,137,169,108
FAM186A,0,0,0,1,0,0,1,0,1,2,3,4,2,1,2,3
FAM186B,5,2,1,2,3,9,12,8,13,22,23,34,27,21,25,26
FAM187B,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
FAM188A,100,98,86,108,258,299,304,263,755,621,779,760,523,572,707,655
FAM188B,2,1,2,1,2,7,7,4,4,5,5,4,4,7,6,7
FAM189A1,113,135,109,100,190,339,272,212,357,504,480,358,215,597,595,391
FAM189A2,9,7,9,8,45,38,44,69,82,108,144,146,50,98,104,98
FAM189B,503,314,237,195,896,787,683,611,914,695,662,686,569,780,738,710
FAM192A,349,373,270,262,858,986,1024,798,1824,1401,1532,1380,1428,1427,1469,1357
FAM193A,189,166,183,167,432,591,654,575,845,898,991,1016,541,947,1061,986
FAM193B,258,262,250,235,596,842,922,686,1041,1190,1187,1393,1251,1133,1255,1258
FAM195A,162,122,103,122,274,328,303,269,237,237,203,259,190,326,233,223
FAM195B,386,287,303,289,1022,886,937,882,923,898,941,1201,550,1201,1316,1063
FAM196A,8,4,3,2,20,26,23,9,18,41,21,8,7,87,83,16
FAM196B,20,3,7,2,21,10,8,9,119,55,52,16,53,38,37,14
FAM197Y2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM197Y5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM198A,1,1,2,1,3,6,8,4,8,18,18,22,12,24,28,12
FAM198B,1,2,1,4,3,10,13,11,16,11,11,6,4,18,18,11
FAM199X,363,282,330,319,660,769,922,919,2026,2853,3556,3675,1421,3479,3742,3045
FAM19A1,0,0,0,0,0,3,5,2,1,5,5,8,0,4,3,3
FAM19A2,2,2,1,2,3,5,5,4,8,9,11,16,4,7,17,13
FAM19A3,0,0,0,0,0,1,1,0,4,0,2,0,5,1,0,3
FAM19A4,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0
FAM19A5,1,0,1,0,0,2,6,12,0,0,0,1,0,5,4,1
FAM200A,35,41,44,29,86,116,106,95,106,119,307,169,94,165,297,183
FAM200B,86,88,91,70,178,249,250,169,397,456,601,481,233,450,531,435
FAM201A,48,47,35,42,102,110,138,113,182,138,122,158,181,152,134,121
FAM203A,3,2,2,3,6,15,14,7,16,20,25,21,5,12,25,20
FAM204A,107,97,93,80,233,319,349,258,814,789,869,753,581,846,812,741
FAM205A,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0
FAM205B,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0
FAM206A,110,98,88,89,297,351,303,254,371,333,472,449,256,364,443,343
FAM207A,117,85,62,86,337,278,278,202,363,167,150,176,218,226,210,227
FAM208A,293,275,237,230,649,830,820,717,2047,2071,2580,2580,1467,2169,2666,2501
FAM208B,217,266,208,198,542,708,760,601,2097,1987,2568,2235,1295,2102,2366,2311
FAM209A,0,0,0,0,2,1,0,1,2,1,5,2,1,4,0,0
FAM209B,0,0,0,1,2,1,4,1,4,12,5,3,5,6,8,4
FAM20A,11,25,27,43,17,31,74,76,20,47,72,101,56,82,197,58
FAM20B,175,183,190,131,431,578,602,443,1528,1829,2112,1791,706,2015,1983,1721
FAM20C,1071,241,228,240,1676,823,792,647,2621,872,809,694,2156,1189,1096,975
FAM210A,121,76,68,74,268,209,196,203,629,509,560,533,349,546,514,491
FAM210B,314,305,310,301,549,797,750,721,962,1347,1886,1780,431,1554,1625,1608
FAM212A,2,1,1,0,4,0,5,6,5,8,2,4,4,8,3,6
FAM212B,30,37,44,44,63,148,141,118,46,95,149,122,101,237,249,179
FAM212B-AS1,1,3,2,4,10,23,19,17,3,3,6,6,8,38,24,16
FAM213A,383,361,316,340,892,1071,1194,1019,2326,2577,3063,2939,1310,2311,2495,2609
FAM213B,250,235,249,260,606,820,811,760,882,990,1070,1067,428,994,977,1061
FAM214A,70,110,89,85,140,328,341,259,431,922,1135,1062,557,1139,1067,966
FAM214B,411,361,360,387,669,1075,1099,1143,1005,1378,1592,1543,523,1619,1631,1619
FAM215A,3,3,0,1,5,5,1,8,4,8,13,12,13,10,12,9
FAM216A,66,23,36,24,119,69,61,50,333,91,119,88,203,89,96,96
FAM216B,0,0,0,0,0,0,2,0,0,0,2,1,0,0,5,0
FAM217A,0,0,0,0,1,1,0,1,0,0,1,2,0,1,1,2
FAM217B,63,75,70,48,115,205,189,144,349,540,625,443,202,573,624,473
FAM218A,2,6,6,3,5,17,10,12,13,13,19,17,11,22,19,13
FAM219A,363,200,188,202,715,590,665,595,897,936,1011,959,775,966,1065,908
FAM219B,259,287,248,225,582,745,788,635,1126,1675,1998,1816,1591,1944,1963,1733
FAM21A,281,243,220,220,588,606,720,665,835,1258,1559,1601,558,1300,1351,1248
FAM21C,203,145,162,172,447,451,507,514,664,1149,1322,1319,534,1192,1218,1028
FAM21EP,6,8,8,3,14,27,23,31,17,22,34,21,24,25,22,24
FAM220A,76,75,76,72,198,214,236,190,279,281,351,313,148,313,379,297
FAM221A,24,16,15,16,43,56,51,51,133,206,248,221,112,165,177,153
FAM221B,0,0,0,0,0,3,2,0,2,2,0,0,2,3,3,1
FAM222A,5,34,26,23,16,126,110,91,48,90,104,96,24,172,176,107
FAM222A-AS1,3,0,1,0,2,4,2,1,7,5,5,13,4,10,8,6
FAM222B,253,280,261,253,452,804,851,763,545,992,1391,1139,358,1061,1314,981
FAM223A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
