Symbol,B3B,B4B,B5B,B6B,B8B,B9B
PPP6R1,12.50303264,12.24314355,12.5753997,12.49881181,12.15137748,12.57153154
PPP6R2,12.56098013,12.50372565,12.69904847,12.55806461,12.63721492,12.77937447
PPP6R3,12.38729475,12.49337314,12.36137046,12.35160741,12.45074328,12.47519446
PPRC1,11.21648813,10.83799255,11.15253224,11.25188668,10.56130619,11.20803718
PPT1,11.47799997,11.49352053,11.28029947,11.59239368,11.38274878,11.39074267
PPTC7,10.64910697,10.67365546,10.75783446,10.8445408,10.66264961,10.84887854
PPWD1,9.825209013,10.01422089,9.563232447,9.916471646,9.929692826,9.843547746
PQBP1,10.6283496,10.65979101,10.82696612,10.68221944,11.23768288,10.65806959
PQLC1,11.54902823,11.28391095,11.87184944,11.63975614,11.91347298,11.80591731
PQLC2,10.38864175,10.0464878,10.44031694,10.33422689,10.03167691,10.42609651
PQLC3,9.10670308,9.27899253,9.27899253,9.501267422,9.37480079,9.575943789
PRADC1,10.09062406,9.854815412,10.1640908,9.898758648,10.89444617,10.08561708
PRAF2,9.23772887,8.791752854,9.222808939,8.997338588,8.963090157,9.052383239
PRAG1,10.86190217,10.06457472,10.68017485,10.61532328,10.02353659,10.55262139
PRAM1,6.753263518,7.108348665,6.956903325,6.582773039,6.268689382,6.923055623
PRAME,6.250621946,6.735341864,6.411939437,6.242108855,5.66312788,5.568080456
PRAMENP,2.637020426,3.580475988,3.135256584,2.97937865,2.462954459,4.149542017
PRAP1,12.91260272,12.75478331,13.0085193,12.59532027,13.3348807,12.51417175
PRC1,7.129120077,7.568403277,7.263599959,6.696966592,7.457011237,6.936938123
PRCC,11.24838881,11.0929881,11.18661236,11.1719405,11.34534558,11.12872266
PRCD,6.449496647,6.418825936,6.469627561,6.474750542,6.514524201,6.660444426
PRCP,12.92892286,12.85380113,12.73494273,12.87226278,12.88350763,12.52510653
PRDM1,7.840890328,8.468929577,8.132979734,8.267052538,7.504284917,7.501718495
PRDM10,9.780869589,9.897085095,9.860764227,9.774840454,9.612504158,9.884701597
PRDM11,10.78066494,10.57589379,10.87347137,10.76048543,10.95063881,10.87766941
PRDM15,9.636430836,9.578326455,9.70335405,9.618612652,9.619030149,9.713711437
PRDM16,11.3313794,11.4022595,11.54944719,11.2532003,11.26603812,11.65369466
PRDM2,11.53097195,11.73662818,11.64497027,11.58861612,11.44486312,11.7147966
PRDM4,11.55433419,11.59698944,11.57825906,11.52047745,11.56680388,11.48538123
PRDM5,8.53084937,8.740130719,8.22605457,8.596778006,9.568817396,8.749989958
PRDM6,6.619344412,6.199745754,6.703449004,5.94893161,6.002469741,6.704853397
PRDM7,7.332453468,7.493845139,8.132979734,7.396794166,7.315727077,7.150697839
PRDM8,6.715730563,6.031115419,5.780940642,5.977362499,6.843169369,6.55748467
PRDX1,13.03490039,13.08373488,12.93117219,13.37558166,13.34420267,12.96364575
PRDX2,12.78858405,12.63511116,12.72263213,12.67119543,13.30496636,12.82602824
PRDX3,12.53880627,12.3763663,12.21039549,12.56452182,12.47801368,12.39440786
PRDX4,10.19868276,9.75951085,9.74308082,9.702989751,10.49659239,9.929590191
PRDX5,12.78504028,12.6307788,12.70854983,12.68586171,13.54023527,12.69978668
PRDX6,12.71774342,13.12568791,12.8247186,12.74630887,13.15994023,12.77697749
PREB,11.55852241,11.42430469,11.6374727,11.56424412,11.69926647,11.41131267
PRELID1,10.6574413,9.294226656,10.72438202,10.06839338,11.05490247,10.50020271
PRELID2,8.168896142,8.345263472,8.118868565,8.319532326,8.642944051,8.525699583
PRELID3A,6.082026104,6.199745754,6.494164084,6.582773039,5.974478588,6.528168057
PRELID3B,8.427320098,8.138707786,7.985948909,8.623206691,8.435740623,8.300989668
PRELP,11.25859822,11.10596545,10.87648401,10.63633869,10.68811059,11.03570769
PREP,10.25150787,10.38675764,10.22980665,10.24923529,9.991488202,10.20327492
PREPL,12.39440786,12.62005869,12.28573567,12.43930924,12.09432815,12.48119836
PREX1,11.36880201,11.34730168,11.60611577,11.563449,11.47449668,11.26603812
PREX2,10.38864175,10.70716136,10.87347137,10.71785778,10.69713403,10.37786182
PRF1,7.303884929,6.735341864,7.546073412,7.931178781,6.449279501,6.90446026
