Symbol,N2A,N3A,N5B,N6B,N7B,N8B,N10B,N12B,N13B
NFAM1,8.158269985,7.70169164,8.619657287,8.499498346,8.348958495,8.273617353,9.037772359,7.882708987,8.924025398
NFASC,13.95147456,13.64010035,14.27037055,13.68337245,13.46086166,13.28044073,13.73090695,13.59375187,13.62060007
NFAT5,13.56207316,13.54363442,13.42366501,13.58740116,13.41879084,13.45955024,13.6301155,13.43154023,13.64010035
NFATC1,9.974411136,9.878496789,10.13214238,10.33238228,10.29485024,9.963373417,10.43478202,10.01549971,10.53359504
NFATC2,9.777083853,9.029970031,9.451716562,9.098742019,9.837149114,9.792730465,9.904998004,9.607489415,9.609071238
NFATC2IP,11.3508689,11.41217146,11.2629566,11.42744081,11.30553084,11.27014506,11.44849462,11.21893108,11.35504482
NFATC3,12.49305953,12.66512776,12.71209331,12.57991913,12.55467777,12.51357095,12.51092611,12.59931425,12.4387483
NFATC4,10.14618833,9.510189643,10.55211864,9.931579614,9.464574836,9.731925415,9.896099576,10.05538316,10.18581525
NFE2,4.318276665,4.263050366,4.185781504,4.761959094,4.98945788,5.45688316,4.662966385,4.659530302,5.049927593
NFE2L1,15.06858786,14.96059074,15.0446366,14.98917951,14.97941216,14.97941216,15.1319202,15.16772343,15.0446366
NFE2L2,12.48970598,12.30292115,12.58959258,12.53476576,12.39837935,12.27444656,12.07369603,12.16568367,13.02783635
NFE2L3,10.4681318,10.81155738,10.59537815,10.6855896,10.24846892,10.28875599,10.50857476,10.34914504,11.1818074
NFIA,12.5368823,12.66698197,12.78248512,12.48560145,12.52018481,12.73528806,12.36286131,12.56578325,12.68727256
NFIA-AS1,7.076935215,6.936235547,7.107756687,6.885903317,6.686998402,6.822978291,6.037648533,7.13307868,6.754521794
NFIB,13.20300927,13.40524887,13.13455397,13.11418127,13.23404526,13.16962305,13.09049843,13.19704317,13.21085781
NFIC,13.67397878,13.17943757,13.79072821,13.6357263,13.55465011,13.7397673,13.80909996,13.65353115,13.76642685
NFIL3,9.637751002,10.59390664,10.78329057,10.83660184,10.275886,9.939659967,10.45995618,9.846661755,11.61116304
NFIX,11.99535694,11.81882461,12.13199011,11.99962492,12.01551635,11.90704768,11.81299988,11.56680388,11.93396686
NFKB1,11.2251577,11.3008292,11.36108521,11.50054123,11.40983307,11.47780611,11.3459473,11.30985077,11.76676009
NFKB2,10.72662973,10.67502638,11.11453623,11.76039366,11.03372877,11.31544147,11.58741091,11.03024214,12.3809183
